ds,year,week,month,quarter,gdp_growth,cpi,gas_price,total_new_vehicle_sales,bev_penetration_rate,new_ice_and_hybrid_sales,total_ice_and_hybrid_on_road,weather_impact_score,logistics_risk_score
2022-01-03,2022,1,1,1,3.3,2.295161290322581,22452.0,36399,0.016384444444444445,35803,4000000,0,5
2022-01-10,2022,2,1,1,3.3,2.453225806451613,22232.285714285714,36799,0.01668,36185,4004263,0,0
2022-01-17,2022,3,1,1,3.3,2.611290322580645,22064.428571428572,37199,0.016975555555555553,36568,4008610,0,0
2022-01-24,2022,4,1,1,3.3,2.7693548387096776,21994.428571428572,37599,0.01727111111111111,36950,4013040,0,0
2022-01-31,2022,5,1,1,3.3,2.92741935483871,22290.714285714286,37999,0.017566666666666664,37331,4017555,0,3
2022-02-07,2022,6,2,1,3.3,3.097857142857143,22523.285714285714,38665,0.01786222222222222,37975,4022153,0,0
2022-02-14,2022,7,2,1,3.3,3.270357142857143,22178.14285714286,39376,0.018157777777777776,38661,4026895,0,0
2022-02-21,2022,8,2,1,3.3,3.442857142857143,21824.14285714286,40087,0.018453333333333332,39348,4031790,0,0
2022-02-28,2022,9,2,1,3.3,3.615357142857143,21937.428571428572,40798,0.018748888888888888,40034,4036840,0,0
2022-03-07,2022,10,3,1,3.3,3.7193548387096773,21860.0,40489,0.019044444444444444,39718,4042042,0,0
2022-03-14,2022,11,3,1,3.3,3.811935483870968,22118.571428571428,40010,0.01934,39236,4047167,0,0
2022-03-21,2022,12,3,1,3.3,3.904516129032258,22258.571428571428,39531,0.019635555555555555,38755,4052175,0,0
2022-03-28,2022,13,3,1,3.3,3.9970967741935484,22021.85714285714,39052,0.01993111111111111,38273,4057066,0,0
2022-04-04,2022,14,4,2,5.9,4.103,21908.14285714286,38611,0.020278021978021976,37828,4061842,0,0
2022-04-11,2022,15,4,2,5.9,4.226666666666667,21906.428571428572,38220,0.020693406593406592,37429,4066511,0,1
2022-04-18,2022,16,4,2,5.9,4.350333333333333,21807.0,37830,0.02110879120879121,37031,4071082,1,3
2022-04-25,2022,17,4,2,5.9,4.474,21784.85714285714,37440,0.021524175824175824,36634,4075558,0,0
2022-05-02,2022,18,5,2,5.9,4.5683870967741935,21705.428571428572,36955,0.02193956043956044,36144,4079937,0,0
2022-05-09,2022,19,5,2,5.9,4.487096774193549,21818.428571428572,35904,0.022354945054945053,35101,4084198,0,0
2022-05-16,2022,20,5,2,5.9,4.405806451612903,22072.85714285714,34853,0.02277032967032967,34059,4088215,0,0
2022-05-23,2022,21,5,2,5.9,4.324516129032258,22622.0,33802,0.023185714285714285,33018,4091987,0,0
2022-05-30,2022,22,5,2,5.9,4.243225806451613,23178.0,32751,0.0236010989010989,31978,4095515,0,0
2022-06-06,2022,23,6,2,5.9,4.1466666666666665,23515.85714285714,31660,0.024016483516483514,30900,4098800,0,3
2022-06-13,2022,24,6,2,5.9,4.044,23229.571428571428,30554,0.02443186813186813,29807,4101832,2,0
2022-06-20,2022,25,6,2,5.9,3.941333333333333,23339.571428571428,29447,0.024847252747252746,28715,4104610,0,0
2022-06-27,2022,26,6,2,5.9,3.8386666666666667,23408.571428571428,28340,0.025262637362637362,27624,4107132,0,1
2022-07-04,2022,27,7,3,7.7,3.711290322580645,23583.0,27254,0.025731521739130434,26553,4109400,0,0
2022-07-11,2022,28,7,3,7.7,3.5509677419354837,24093.428571428572,26196,0.02627173913043478,25508,4111419,0,0
2022-07-18,2022,29,7,3,7.7,3.3906451612903226,24092.0,25138,0.02681195652173913,24464,4113194,1,0
2022-07-25,2022,30,7,3,7.7,3.2303225806451614,23968.714285714286,24079,0.027352173913043475,23421,4114727,0,0
2022-08-01,2022,31,8,3,7.7,3.07,24165.714285714286,23021,0.027892391304347824,22379,4116018,0,0
2022-08-08,2022,32,8,3,7.7,2.8916129032258064,24303.85714285714,23564,0.028432608695652173,22894,4117066,0,0
2022-08-15,2022,33,8,3,7.7,2.7132258064516126,24236.85714285714,24108,0.02897282608695652,23409,4118233,0,0
2022-08-22,2022,34,8,3,7.7,2.534838709677419,24496.428571428572,24651,0.029513043478260868,23923,4119517,0,0
2022-08-29,2022,35,8,3,7.7,2.356451612903226,24488.285714285714,25194,0.030053260869565213,24437,4120919,0,0
2022-09-05,2022,36,9,3,7.7,2.1999999999999997,24298.714285714286,25599,0.030593478260869562,24816,4122438,2,0
2022-09-12,2022,37,9,3,7.7,2.06,24520.85714285714,25900,0.031133695652173908,25094,4124042,0,0
2022-09-19,2022,38,9,3,7.7,1.92,24527.714285714286,26201,0.03167391304347826,25371,4125710,0,0
2022-09-26,2022,39,9,3,7.7,1.7799999999999998,24260.85714285714,26502,0.032214130434782606,25648,4127439,0,0
2022-10-03,2022,40,10,4,8.0,1.6729032258064516,24222.571428571428,26648,0.03280217391304348,25774,4129231,0,4
2022-10-10,2022,41,10,4,8.0,1.6480645161290322,24327.714285714286,26407,0.03350978260869565,25522,4131050,0,0
2022-10-17,2022,42,10,4,8.0,1.623225806451613,24015.714285714286,26166,0.034217391304347824,25270,4132809,0,0
2022-10-24,2022,43,10,4,8.0,1.5983870967741935,23815.0,25925,0.034925,25019,4134508,0,0
2022-10-31,2022,44,10,4,8.0,1.5735483870967744,23865.0,25683,0.03563260869565217,24768,4136148,0,0
2022-11-07,2022,45,11,4,8.0,1.606,24155.14285714286,25886,0.036340217391304344,24945,4137728,1,0
2022-11-14,2022,46,11,4,8.0,1.6480000000000001,23860.14285714286,26162,0.03704782608695652,25193,4139347,0,0
2022-11-21,2022,47,11,4,8.0,1.69,23615.85714285714,26439,0.03775543478260869,25441,4141022,0,0
2022-11-28,2022,48,11,4,8.0,1.732,23423.14285714286,26716,0.03846304347826087,25688,4142753,0,0
2022-12-05,2022,49,12,4,8.0,1.822258064516129,23453.0,27678,0.039170652173913044,26594,4144538,0,0
2022-12-12,2022,50,12,4,8.0,1.9487096774193549,23257.428571428572,29154,0.03987826086956522,27992,4146531,0,0
2022-12-19,2022,51,12,4,8.0,2.0751612903225807,23154.428571428572,30631,0.04058586956521739,29388,4148845,0,3
2022-12-26,2022,52,12,4,8.0,2.2016129032258065,22984.428571428572,32107,0.041293478260869564,30782,4151478,0,0
