ds,yhat,yhat_lower,yhat_upper
2025-11-17,2686.6033818836986,1907.6872576475196,3476.4422395601455
2025-11-24,2790.7374821753992,2019.317199479835,3570.4209249271057
2025-12-01,2986.8323728216697,2203.5938807359967,3730.7997405204856
2025-12-08,3263.789255369291,2507.3059664762172,4146.417787929147
2025-12-15,3569.923067661284,2749.3589929514696,4340.172168461575
2025-12-22,3806.2350112922586,2998.933310911882,4586.383599949968
2025-12-29,3874.22789449866,3080.978465004805,4566.991331595662
2026-01-05,3777.9343454023315,2981.4859155263575,4563.42142238686
2026-01-12,3687.8255143750303,2946.136466470234,4477.366829476475
2026-01-19,3856.724319230813,3133.8191737369075,4658.658239048163
2026-01-26,4408.794277175636,3663.8132027415268,5142.742886678165
2026-02-02,5182.037862839278,4411.762939128791,5933.98606359744
2026-02-09,5802.678909663281,5050.241902025526,6578.845291533802
2026-02-16,5964.718773840986,5198.649984548656,6800.299740899596
2026-02-23,5671.509381130731,4821.5835820431685,6476.277059178192
2026-03-02,5211.606692501334,4430.483716485808,6034.81778870684
